sam=200/100, n=4, eps=0.5, mse=47.41920568400636, t=11.013287544250488
sam=300/100, n=4, eps=0.5, mse=43.37232734473006, t=40.066187381744385
sam=300/100, n=4, eps=0.1, mse=41.53065243038895, t=20.790172576904297
sam=1000/100, n=4, eps=0.1, mse=49.31417799566055, t=34.10747957229614
sam=1000/100, n=4, eps=0.01, mse=90.26520556781489, t=51.155067920684814
sam=1000/100, n=4, eps=0.2, mse=80.27470645988062, t=44.23989725112915
sam=1000/100, n=6, eps=0.1, mse=91.19923607541195, t=112.95474338531494
sam=49/19, n=2, eps=0.01, mse=160.20355743435536, t=10.076716423034668
sam=49/19, n=10, eps=0.01, mse=66.79172301270496, t=159.98970913887024
sam=499/19, n=5, eps=0.1, mse=159.72248786753823, t=36.24871015548706
sam=299/99, n=4, eps=0.1, mse=124.86059443212334, t=23.044008016586304
sam=299/99, n=4, eps=0.1, mse=124.8603521035101, t=21.246097803115845
sam=29/1, n=4, eps=0.1, mse=51.52900800891098, t=15.872981071472168
sam=299/1, n=4, eps=0.1, mse=152.05572212641528, t=16.266497373580933
sam=5499/5499, n=2, eps=0.1, mse=74.5155055327276, t=192.3099241256714
sam=499/49, n=4, eps=0.1, mse=62.63057782366882, t=69.56311702728271
sam=2/49, n=4, eps=0.1, mse=0.13476442779175588, t=9.377414464950562
sam=2/49, n=4, eps=0.05, mse=0.0473144581145807, t=7.608388662338257
sam=2/49, n=4, eps=0.05, mse=0.0473144581145807, t=5.28909969329834
sam=2/49, n=4, eps=0.05, mse=0.0026271280983038614, t=10.36350131034851
sam=9/49, n=4, eps=0.05, mse=0.08174842985733753, t=8.121256113052368
sam=9/49, n=4, eps=0.05, mse=32.84387853565122, t=8.799708843231201
sam=99/49, n=4, eps=0.05, mse=54.99580775820559, t=12.392359256744385
sam=999/49, n=4, eps=0.05, mse=79.90257892891252, t=50.40453267097473
sam=99/199, n=4, eps=0.05, mse=76.15388579626135, t=21.773303031921387
sam=99/199, n=4, eps=0.05, mse=76.15388579626135, t=14.709413051605225
sam=1999/49, n=4, eps=0, mse=71.96321750029222, t=86.58229994773865
sam=1999/499, n=4, eps=0, mse=71.97791892295417, t=103.30103635787964
sam=1999/49, n=4, eps=0, mse=71.96317177870631, t=76.46099948883057
sam=999/49, n=6, eps=0, mse=86.88424478242335, t=126.07359433174133
sam=1999/49, n=4, eps=1, mse=76.76546284497034, t=83.32616543769836
sam=49/1999, n=2, eps=0.7988220564774171, mse=143.71088354378978, t=40.963849782943726
sam=300/50, n=2, eps=0.01, mse=30.46567891679985, t=21.39060878753662
sam=300/50, n=2, eps=0.01, mse=31.695253813320427, t=9.596853494644165
sam=300/50, n=2, eps=0.01, mse=31.695253813320427, t=9.614246129989624
sam=300/50, n=2, eps=0.01, mse=31.42162840136678, t=7.226212501525879
sam=300/50, n=2, eps=0.01, mse=31.42162840136678, t=6.7532408237457275
sam=300/50, n=2, eps=0.01, mse=31.42162840136678, t=6.488029956817627
sam=300/50, n=2, eps=0.01, mse=31.42162840136678, t=7.643111705780029
sam=300/50, n=2, eps=0.01, mse=31.42162840136678, t=8.59532356262207
sam=300/50, n=4, eps=0.01, mse=30.14245595774087, t=14.644938230514526
sam=1000/50, n=4, eps=0.01, mse=95.59999874661082, t=41.85223746299744
sam=1000/50, n=2, eps=0.01, mse=3.996257244762058e-14, t=22.290485382080078
sam=1000/50, n=2, eps=0.01, mse=43.55266633434947, t=22.924386024475098
sam=1000/50, n=2, eps=0.01, mse=43.55266633434947, t=20.42970561981201
sam=1000/50, n=2, eps=0.01, mse=45.43317421097486, t=22.917739629745483
sam=500/50, n=2, eps=0.01, mse=0.0009423991203179545, t=9.528326511383057
sam=500/50, n=2, eps=0.01, mse=3.976365840828628e-09, t=15.708191394805908
sam=50/50, n=2, eps=0.01, mse=1.463617693628128e-10, t=5.11177921295166
sam=50/50, n=2, eps=0.01, mse=0.04163357021903144, t=5.717187404632568
sam=500/500, n=2, eps=0.01, mse=4.998940918940366, t=24.523481369018555
sam=5000/500, n=2, eps=0.01, mse=0.40764567391774326, t=120.07707500457764
sam=1000/500, n=3, eps=0.01, mse=0.40632886105556726, t=74.14843916893005
sam=50/50, n=2, eps=0.01, mse=0.008323139006397874, t=3.9323198795318604
sam=50/50, n=2, eps=0.01, mse=nan, t=3.6974005699157715
sam=50/50, n=2, eps=0.01, mse=nan, t=3.0382561683654785
sam=50/50, n=2, eps=0.01, mse=1.581907137382988, t=3.803537130355835
sam=500/500, n=2, eps=0.01, mse=114.13309389826921, t=20.921138525009155
sam=5/5, n=2, eps=0.01, mse=0.016314675031978247, t=2.114748477935791
sam=5/5, n=2, eps=0.01, mse=0.016314675031978247, t=1.3334622383117676
sam=5/5, n=2, eps=0.01, mse=0.016314675031978247, t=0.9085884094238281
sam=5/5, n=2, eps=0.01, mse=0.016314675031975867, t=2.990354061126709
sam=5/5, n=2, eps=0.01, mse=1.5467141877782755, t=0.9899954795837402
sam=5/5, n=2, eps=0.01, mse=1.5771923534902876, t=0.6348798274993896
sam=5/5, n=2, eps=0.01, mse=1.5771923534902899, t=0.6609909534454346
sam=5/5, n=2, eps=0.01, mse=1.5056649766759245, t=1.112771987915039
sam=5/5, n=2, eps=0.01, mse=242457.42156007007, t=1.1024315357208252
sam=50/5, n=2, eps=0.01, mse=21994958.65076838, t=4.066109657287598
sam=500/5, n=2, eps=0.01, mse=1294781637.8873055, t=10.90671157836914
sam=500/5, n=2, eps=0.01, mse=4.092332208383429e-28, t=15.418699502944946
sam=500/5, n=2, eps=0.01, mse=26437.906580140036, t=17.501178741455078
sam=500/5, n=2, eps=0.1, mse=26437.906580140036, t=12.013047695159912
sam=50/5, n=6, eps=0.1, mse=497.51194724456235, t=17.606245756149292
sam=50/5, n=6, eps=0.1, mse=497.51194724456235, t=10.888950824737549
sam=50/5, n=6, eps=0.1, mse=9185.198845509194, t=10.440769910812378
sam=50/5, n=2, eps=0.2, mse=9185.197346571462, t=3.198040246963501
sam=50/5, n=2, eps=0.2, mse=87.24896492415242, t=3.394015312194824
sam=500/5, n=2, eps=0.2, mse=373.6316764711267, t=18.767858505249023
